Job Title,Company,Location,Salary,Post Date,Job Link,Type,Description
Data Scientist,Manpower Business Solutions (M) Sdn Bhd,Kuala Lumpur,"RM 10,000 - RM 12,999 a month",13 days ago,https://malaysia.indeed.com/rc/clk?jk=083b4b7c0fcbc198&fccid=1a17983a910f73d8&vjs=3,Contract,"• Designs, Test, Implement and maintain ETL scripts for data migration from various legacy to target platforms • Responsible for developing/executing/reporting various migration validation processes – Reconciliation, Integrity checks, data profiling • To be able to perform end to end migration tests/executions (Low volume, High volume) independently and track/ resolve all the issues • Generate detailed report of migration test/ executions • Identify/ Report cleansing issues on source data • Provide the data to testing teams & support migration defects • Identifying the data migration impact of proposed changes • Migrate systems to cloud base infrastructure. • Ability to multi-task and work in a fast-paced environment. • Ability to work independently and to collaborate as a member of a team
ManpowerGroup Malaysia is a known leader in innovative workforce solutions, creating and delivering high-impact services that enable our clients to achieve their business goals and enhance their competitiveness. With over 20 years of experience in Malaysia, we create unique value through a comprehensive suite of innovative solutions that help job seekers and clients win in the Human Age. By connecting its deep understanding of human potential to clients’ ambitions, we help organizations and individuals achieve more than they imagined. We power the future of work!
Bachelor's or Equivalent"
Lead Data Scientist,AirAsia,Kuala Lumpur+2 locations,No Detail,30+ days ago,https://malaysia.indeed.com/rc/clk?jk=5322bc61f6245a53&fccid=350f4541eb63ccf6&vjs=3,No Detail,"Job Description
Lead Data Scientist
Are you ready to take off and be part of the Allstar employee? Whether you’re applying for a developer, customer happiness or crew, at AirAsia we act as One AirAsia.
If you are hungry to make a difference with one of the most well known low-cost airlines and to work in the dynamic technology hub, this is the job for you.
BIG Rewards Data team is made up by a group of data professionals, including Data Engineers, Data Scientists, BI Analysts and Campaign Scientists that unifies our data signals and cultivates strategic data-driven decisions that democratize BIG points to be widely accessible for BIG members in ASEAN.
We believe in diversity, intellectual curiosity, analytical and openness. We are looking for someone to join our growing team in Kuala Lumpur to be part of the data and digital transformation @ BIG Rewards.
Overview
This role will be responsible for discovering the information hidden in vast amounts of data to ensure smarter business decisions are made and deliver better products. The primary focus will be in applying machine learning techniques, doing statistical analysis, and building high quality prediction systems integrated with our products ie: automate scoring system using machine learning techniques, product recommendation engine, automate internal A/B testing procedures, member point auto reward model, segmentations, revenue optimization etc.
Duties and responsibilities
Lead and manage a team of data scientist
Lead cross-functional projects using advanced data modeling and advanced analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities
Define the objective and scope of the machine learning
Data preparation which include processing, cleansing, and verifying the integrity of data used for analysis
Selecting features, building and optimizing classifiers using machine learning techniques
Applied various modelling technique using state-of-the-art methods to achieve optimal result
Evaluate machine learning performance in term of accuracy and ROI
Monthly model monitoring, refresh or rebuild the model when the model performance has deteriorated
Oversee analytics projects to extract, manage, connecting signals and analyze data from multiple sources, i.e. online and offline data, ensuring that deadlines are met
Apply statistics and data modeling to gain actionable business insights and boost members engagement and revenue
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Performing strategic and tactical analysis and presenting results in a clear and easy to understand manner
To drive and continuously lead new-edge and creative initiatives for the ongoing continuous improvements
Qualifications
Degree in a field such as Computer Science, Computer Engineer, Statistic, Applied Statistics, Actuarial, AI, Data Science, Mathematics or relevant.
At least 5 years' experience in a similar role with strong knowledge of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Experience with common data science toolkits, such as Python, R, Tensor Flow, Keras, SAS etc. Excellence in at least one of these is highly desirable
Great data visualization, presentation and story-telling skills,
Experience with data visualisation tools, such as Google Data Studio, Tableau, Qlikview etc.
Proficiency in using query languages such as SQL (MS SQL, MySQL, Postgres), HQL, Hive, Pig, Spark etc.
Experience with Google Cloud Platform, BigQuery is a plus
Digital knowledge and past experiences with Big Data is an advantage.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Experience using analytics techniques to contribute to company growth efforts, increasing revenue and other key business outcomes.
Strong problem solving, quantitative and analytical abilities.
Ability to articulate analytical findings to less-technical business-savvy audience
Good problem solving skills, can work with confidence unsupervised, and able to manage multiple concurrent work streams.
What makes an Allstar employee? You allow yourself to ‘Dare to Dream’ big dreams and seize the day. You ‘Make things Happen’, you like taking efforts and achieve it. Without any effort, no dream will get fulfilled.
Our companies include Airasia.com, BigPay, Teleport, BigLife, RedBeat Ventures, AirAsia Foundation, Tune Group of Hotels, TuneProtect, OURSHOP, FORM.AT, Airasia Ads
AirAsia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, gender, sexual orientation, national origin, disability or age.
We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position-specific."
Senior Data Scientist,BRITISH AMERICAN TOBACCO GSD (KUALA LUMPUR) SDN....,Subang Jaya,"RM 10,000 - RM 12,999 a month",7 days ago,https://malaysia.indeed.com/rc/clk?jk=3fa04fe56a511f1b&fccid=8e1a8291113cc060&vjs=3,No Detail,"BAT IS LOOKING FOR A SENIOR DATA SCIENTIST - RGM TO BE BASED IN SELANGOR, MALAYSIA SENIORITY LEVEL: Management (MM) FUNCTION: D&A | GBS | Finance LOCATION: Selangor, Malaysia ROLE POSITIONING AND OBJECTIVES The Data Scientist in D&A will lead & deliver projects of Data, Reporting, Visualization & Advanced Analytics as assigned by the Team Manager. In addition, this role is expected to be an expert in delivering decision science solutions in domains like Pricing, Promotion, Assortment, and Shopper analytic solutions. The projects thus delivered is expected to help the business to take better decisions and create value for them. Reports to: Senior Manager - Data, Reporting & Analytics Reporting Level: Manages Self and others (NM) Geographic Scope: Regional WHAT YOU WILL BE ACCOUNTABLE FOR Support 2 to 4 projects at a given time Independently deliver end-to-end D&A solutions / outcomes as per specifications Engage & manage global stakeholders with the acumen to translate business problems into D&A asks and D&A outcomes to business solutions Deliver on assigned monetary value targets (Revenue / EBIDTA / Costs / Cash Flows) by driving implementation of D&A solutions in supported business Expertise in RGM concepts like strategic pricing, optimisation, promotional effectiveness, Assortment planning and trade optimisation Follow agreed processes to deliver outcomes efficiently & within agreed SLAs with a continuous improvement mindset Embody the – D&A culture and ways of working and strive to constantly work towards creating a better D&A brand within the company Coach junior team members to help them ramp-up into the organization CAN THIS BE YOUR FUTURE ROLE? Do you have experience in Revenue Growth Management (RGM) concepts like Strategy Pricing, Optimization, Promotional Effectiveness, Assortment Planning and Trade Optimization? Do you have hands-on working experience in Dashboarding/ Data Visualization/ Advanced Analytics/ Modelling/ Delivery Out in the domains of Sales & Marketing? ESSENTIAL EXPERIENCE, SKILLS AND KNOWLEDGE Support 2 to 4 projects at a given time Independently deliver end-to-end D&A solutions / outcomes as per specifications Engage & manage global stakeholders with the acumen to translate business problems into D&A asks and D&A outcomes to business solutions Deliver on assigned monetary value targets (Revenue / EBIDTA / Costs / Cash Flows) by driving implementation of D&A solutions in supported business Expertise in RGM concepts like strategic pricing, optimisation, promotional effectiveness, Assortment planning and trade optimisation Follow agreed processes to deliver outcomes efficiently & within agreed SLAs with a continuous improvement mindset Embody the – D&A culture and ways of working and strive to constantly work towards creating a better D&A brand within the company Coach junior team members to help them ramp-up into the organization
At British American Tobacco Malaysia, we stand for more than just a leading and legal tobacco in Malaysia. We are recognised as a respectable corporate citizen with an excellent track record in corporate governance and known as a leading employer with multitude of awards and recognitions for best-in-class talent development. Apart from being a responsible corporate citizen, we are also an active contributor to the community through our various corporate social investments.
Bachelor's or Equivalent"
Talent & Organization – Organizational Analytics Scientist (Behavioural Science),Accenture,Kuala Lumpur,No Detail,30+ days ago,https://malaysia.indeed.com/rc/clk?jk=4b5d2545ff1e9a50&fccid=a4e4e2eaf26690c9&vjs=3,No Detail,"Looking for a rewarding career with global impact? Then consider Accenture’s rapidly expanding Capability Network with approximately 3,000 Management Consulting and Strategy professionals (we like to call them rock stars!) based in a network of prominent locations around the world.
Capability Network Professionals….
Thrive in a fast-paced, inclusive environment with countless opportunities to learn and grow
Collaborate with diverse organizations on groundbreaking projects
Enjoy the camaraderie of working together towards a common goal and forming lasting friendships
If this sounds like the right team for you, we invite you to read on - and visit www.accenture.com/capabilitynetwork.
YOUR ROLE
Although no two days at Accenture are the same, as an Organizational Analytics (OA) Scientist in our Talent & Organization (T&O) practice, a typical day might include:
Fetching information from various sources and analyzing it to better understand people behaviors
 Fetching information from various sources related to Behavioral Science/Industrial and Organizational Psychology/Social Sciences to create new frameworks
Designing framework for questionnaire and other assessment
Linking analytics results with Behavioral Science/ Industrial and Organizational Psychology concepts
 Run numeric simulations leveraging different statistic techniques
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Doing custom analytics to deliver insights to clients
Contribute to authoring of Thought leadership and research papers
Contribute to innovation and new product development in the people and organization analytics space

BASIC QUALIFICATIONS
Bachelors/Master’s degree in Industrial and Organizational Psychology/Social Sciences
PhD (preferred in social sciences) Industrial and Organizational Psychology/Social Sciences
REQUIRED EXPERIENCE/ SKILLS
Preferably 2 to 5 years of experience in business data analysis and research related to Behavioral Science/Industrial and Organizational Psychology/ Social Sciences
Data fluency and working knowledge of statistical methodologies
Knowledge in Behavioral Science/Industrial and Organizational Psychology/ Social Sciences
Data interpretation with working knowledge of analytic models and digital tools
Fluency in English
Ability to perform in a non-structured and dynamic environment
Tools: Advanced Excel and R
YOUR WINNING QUALITIES:
Natural leader; easily establishes relationships with clients and colleagues
Team Player; enjoys the intellectual stimulation of collaborating with colleagues around the world
Determined; appreciates a challenge and overcoming obstacles to achieve results
Digitally savvy; continuous learner
OUR COMMITMENT TO YOU – You will enjoy:
A transparent career path designed for rapid career progression
A supportive culture that is serious about training, coaching and continuous learning
A global network where only state-of-the-art tools and technologies will do
A bighearted environment with opportunities to give back to our local communities
Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law."
Data Transformation Analyst II,IHS Markit,Kuala Lumpur•Remote,No Detail,15 days ago,https://malaysia.indeed.com/rc/clk?jk=db84e5a415854d31&fccid=c4ba6202af4dda9d&vjs=3,No Detail,"Your role
Are you a creative team player? Do you enjoy producing high quality illustrations? We’re looking for a data transformation analyst, within the Images Team to:
Use Adobe Illustrator CC to produce high quality geological illustrations
 Use GIS Applications (ArcGIS 10.7/ArcGIS Pro) to georeference, digitize, clean and attribute features
 Check consistency between images and spatial data sets
 Quality Control illustrations before delivery to various IHS Markit products
Work on ad-hoc projects such as posters, presentations and reports.
Your team
You will be working in the [Images] Team in Kuala Lumpur - Jalan P Ramlee. The images team currently consists of three image specialists in KL plus two in Tetbury, UK. We are a very friendly team dedicated to producing high quality images for a range of products – most notably the Basin Monitor Reports, using our in-house standards to maintain consistency.
Your expertise
You have
a GIS-related degree.
Prior experience with Adobe Illustrator CC (or previous versions) or similar drafting software.
Fluent in English, other languages are desirable.
Knowledgeable in Earth Sciences/Petroleum Geology background
Experience with MS Applications such as Teams, Outlook, Excel etc.
You are
A flexible team player
Capable of working with the minimum of supervision and to strict deadlines
Somebody with great attention to detail and a very high level of accuracy in your work.
Able to prioritise your workload
Somebody with excellent communication skills.
Junior candidates are welcome.
Your Benefits
Our great workplace culture
Flexibility to work from home
A wide range of training opportunities
Flexible Working
We are happy to consider requests to work flexibly. For most roles, flexible hours and/or an element of working from home are usually possible. Please talk to us at interview about the type of flexibility you need. We can’t promise to give you exactly what you want, but we do promise not to judge you for asking.
Your colleagues
About us
We are over 14,000 analysts, data scientists and specialists armed with real-time technology and data, working together to uncover deeper sources of information. The unique insights we provide help the industries and markets that drive our economies operate more efficiently, outpace competition and secure long-term success. Our global insights impact nearly every major sector - from aerospace to automotive. We empower our customers by isolating cause and effect, risk and opportunity in new ways so they can make well-informed decisions with greater confidence. This is a force we call The New Intelligence.
Join us
Boundaries belong on maps, not in your work. Start every day at IHS Markit with the excitement of what’s next, by working with people from across the globe on interesting, cutting-edge projects and gaining once-in-a-lifetime learning experiences. It is easy to be passionate and invested in your work here, knowing you are causing an effect for some of the world’s most influential companies. You’ll get to be hands-on with, and see the direct impact, of your work. Career satisfaction just comes with the territory here
-
Inclusion and diversity are critical to the success of IHS Markit, and we actively encourage applications from people of all backgrounds. We are committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, status as a protected veteran, or any other protected category.
We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.
IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work."
Data Engineer,Hexa Business,Kuala Lumpur,"RM 15,000 - RM 18,000 a month",23 days ago,https://malaysia.indeed.com/company/Hexa-Business/jobs/Data-Engineer-6223f7df37006416?fccid=40b5a68a67e60903&vjs=3,Full time,"We are looking for a savvy Data Engineer to join our growing team of analytics experts. The hire will be responsible for expanding and optimizing data, data flows, and data pipeline architectures as well as optimizing data flow and collection for cross functional teams. The ideal candidate enjoys optimizing data systems and building them from the ground up and he or she must be excited to optimize, re-design data architectures to support next generation of products and data initiatives.The Data Engineer will support our software developers, and data scientists on data initiatives and will ensure optimal data delivery architecture is consistent throughout ongoing projects. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products for a variety of industry verticals.Data Engineers collect, process, and perform statistical analysis of data and translate the numbers into a layman's terms. By identifying trends and making predictions about the future, they help companies make sense of how they work. Data Engineers regulate, normalize, and calibrate data to be used alone or with other numbers and use charts, graphs, tables, and graphics to explain what the data mean across specific amounts of time or various departments.Job Type: Full-timeSalary: RM15,000.00 - RM18,000.00 per monthSchedule:Day shiftWillingness to travel:50% (Preferred)"
"VP, Senior Data Scientist",United Overseas Bank (Malaysia) Bhd,Kuala Lumpur,No Detail,30+ days ago,https://malaysia.indeed.com/rc/clk?jk=5f47003360972039&fccid=b1ace17c9d00764e&vjs=3,No Detail,"About UOB

United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices.
Our history spans more than 80 years. Over this time, we have been guided by our values — Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.
About the Department

The Wholesale Bank function operates a dynamic business model that provides financial services and solutions to help our clients achieve their strategic business objectives. Our mission is to become the premier-provider of banking services and solutions for Asia-based commercial banking companies (small medium enterprises), large corporations, financial institutions as well as multinational corporations. Our coverage teams work in full alignment with specialised teams across Transaction Banking, Investment Banking, Global Markets and Group Retail to deliver seamless solutions to our clients.

Job Responsibilities

WB Portfolio Management Unit(PMU) is an exciting team that is focused on Machine learning and Artificial Intelligence. We managed and developed WB Scorecard models for both Capital and provision for Bank and conduct analytics for WB portfolio on their trend analysis for both early warning signals and Business Opportunities.
We are seeking a matured candidate to join us to spearhead the Artificial Intelligence track where the incumbent must have at least 5 years of experience in developing Scrapping Knowledge with high levels of competency:-:
Experience for high level programming language for analysis using Python, R, etc
Experience in articulating business questions and using and using mathematical techniques and able to translate analysis results into Business outcomes;
Collaborate and work across functional and multidisciplinary teams in a dynamic.
Must be able to understand machine learning algorithms such as Naïve Bayes, SVM, Decision trees and knowledge of Tensor Flow, Pytorch and Scikit-learn
Experienced in implementation and deployment of ML Models and conduct system tests for security and performance.
Develop and maintain the design and troubleshooting documentation.
Research on Algorithm improvements for higher performance, accuracy and optimality.
Job Requirements
A recognized PHD/ Masters/Bachelor’s Degree in a quantitative discipline, Mathematics, Actuarial, Statistics, Finance, Financial Engineering or Engineering degree
Preferably 5 years working experience in Machine Learning Environment.
Strong analytical and statistical skills with experience in statistical modeling would be highly desirable.
Ability to multi-task and manage a number of differing tasks, ensuring that effective communication is maintained.
Ability to work under tight deadlines is necessary.
Strong communication skills in writing and interpersonal skill is required.
Be a part of UOB Family

UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application.


Apply now and make a difference."
DATA PRODUCT MANAGER,MOVING WALLS SDN BHD,Kuala Lumpur,No Detail,1 day ago,https://malaysia.indeed.com/rc/clk?jk=b03b61771ca0f593&fccid=73ab46ca1ca831e5&vjs=3,Contract,"About The Role In this role you will work closely with data analysts, engineering and product teams to create the ideal customer experience across multiple platforms and customer facing initiatives. You will own the roadmap for the growth platform and other data management initiatives for the other internal platforms. You’ll be the enabler of a data led automation solutions to solve business problems . Own the Data Management Platform and the development of features in the platform Enable ML model driven features in the platform to drive analytics Collaborate with internal product teams to drive cross platform initiatives and data-led features PM the rollout, measurements and reporting of analytical parameters Partner with data science, engineers and product owners to test and deliver products that require complex data handling. About You Problem Solver, Logical thinker and an enabler Domain-Adaptive & quick to research Tech-Adaptive, Up for challenges and out-of-the box thinker You possess a deeply pro-active, hands-on mentality. You hold yourself accountable and take great pride in your work. Confident Client handling skills You Have Experience In The Following You love working with data scientists and engineers. Inclined towards research and data driven decision making. Managing or working closely with multi functional team Passionate about technology and eager to research, debate and collaborate. Experience building data products and programming or have a data science background. Experience in handling large volume of data, different types of data Experience with agile development teams and experience in project management. Ability to work with data visualization tools. Exposure to working within rapidly scaling early stage organisation is preferred Past first hand experience in Amazon Web Services is a bonus Ability to see create use-cases / user stories by bringing out the value of data-led initiates fitting the domain of the organization
Who we are: We Move Walls To Measure, Reach, and Influence Real People in Physical Spaces. The digital disruption of out-of-home advertising has presented us with an opportunity for innovation and leadership. We use data and technology to design media solutions that empower our clients to measure, reach and influence consumers in the real world. In simple terms, we have created the industry platform for Outernet. Our proficiency in these fields has lead to us being recognised with more than 25 global and regional awards for media innovation, technology, and business leadership. If you can scope and build long-lasting relationships to drive revenue then this is the right role for you. Why join us? The real world, like the digital world, is about connections. We apply this to internal and external teams. We believe that we are not alone and that if we connect a few dots together, new possibilities emerge. We believe in co-creation.
Bachelor's or Equivalent"
Snr Smart Manufacturing Data Scientist,Micron Technology,Simpang Ampat,No Detail,30+ days ago,https://malaysia.indeed.com/rc/clk?jk=a6d3ba3abcf2ca3c&fccid=be240c643a8631c5&vjs=3,No Detail,"Our vision is to transform how the world uses information to enrich life for all.
Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.
281304 Snr Smart Manufacturing Data Scientist
Responsibilities include, but not limited to:
Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
pySpark and/or SparkR and/or SparklyR
Hadoop (Hive, Spark, HBase)
Teradata and/or another SQL databases
Tensorflow, and/or other statistical software including scripting capability for automating analyses
SSIS, ETL
Javascript, AngularJS 2.0, Tableau
Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
Experience working with Manufacturing Execution Systems (MES) is a plus
Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position
About Micron Technology, Inc.
We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.
Please note that in order to assist in providing a safe and healthy workplace for all Micron team members, new employment offers for jobs based in the U.S., Singapore and Malaysia are contingent upon the applicant’s provision of a copy of their COVID-19 vaccination document to Micron on a confidential basis prior to their scheduled start date confirming that they have completed the COVID-19 vaccination process, subject to any written request for medical or religious accommodation and to the extent permitted by applicable law.

To learn more, please visit micron.com/careers

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_my@micron.com
Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.
Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron."
Senior Data Scientist,RHB Banking Group,Kuala Lumpur,No Detail,20 days ago,https://malaysia.indeed.com/rc/clk?jk=03ee5297abdae43a&fccid=fffa4d14a56af74d&vjs=3,No Detail,"Working Hour
Regular Hours
Monday - Friday
Business Area
Strategy & Analytics
Location
Malaysia - Kuala Lumpur
Description

Primary Objective:
To actively lead, participate and contribute in identification of business use-cases for innovative ideation, design, build, test, and execution for various Functional Units within RHB Group, with the objective to improve productivity, cost optimization, penalty avoidance, etc.
To execute and roll-out the identified ideas/projects with analytical values justifications and work with Stakeholders on ensuring these opportunities are tracked and managed.
Key Responsibilities:
To Drive data driven solution in Functional units.
To Engage with respective Functional units’ stakeholders to ensure alignment on data-solutions, deliverables and standards against Business Challenges.
To Build analytical values tracking for management reporting on Analytics use cases.
To Work closely with business owners to address business problem using data analytics to provide insights for business decision making.
To be embedded into business squad team in Agile methodology for better business knowledge improvement and provide value to business.
To Execute advanced analytics projects and provide ad hoc analysis to functional units.
To Identify, Design, Develop & Execute the required analytical algorithms, techniques, and statistical methods to address and then solve business problems through data solutions.
To Understand the algorithms/methodologies related implications of advanced analytics solutions, and assist in defining the solutions to support any future business requirements.
Requirements
Requirements:

Bachelor Degree - Economics, Finance, Math, Statistics or equivalent.
Min. 5 years’ experience in analytical and statistical modelling related roles (banking & insurance experience is a plus)
Proficient in SAS Programming and Proficient Python Programming Language
Ability to generate analytical insights to business problems
Present and communicate with Clarity the analytical solutions
Work in Agile Environment
Deep expertise in data mining, analytical techniques & solutions
Modelling experience (e.g. demand forecasting, segmentation, propensity)
Hands on experience in handling & managing large quantum of data via appropriate tools & techniques

Benefits
Dental, Education support, Miscellaneous allowance, Medical, Loans, Sports (e.g. Gym), Parking, Vision, Regular hours, Mondays - Fridays, Casual Business Wear, Performance Based Rewards"
Lead Data Scientist - Experimentation,AirAsia,Kuala Lumpur,No Detail,30+ days ago,https://malaysia.indeed.com/rc/clk?jk=8cd545e1d8db32c0&fccid=350f4541eb63ccf6&vjs=3,No Detail,"Job Description
Are you ready to take off and be part of the Allstar employee? Whether you’re applying for a developer, customer happiness or crew, at AirAsia we act as One AirAsia.
If you are hungry to make a difference with one of the most well-known low-cost airlines and to work in the dynamic technology hub, this is the job for you.
Group Data comes under AirAsia Digital which is responsible for spearheading digital transformation across AirAsia. Group Data works on business and operations problems across all entities in the AirAsia Group. Key problems we solve include improving revenue and reducing costs through large-scale data federation, predictive and prescriptive analytics, state-of-the-art machine/deep learning, intelligent scheduling and optimization, and other advanced techniques. Group Data is also responsible for the data lakes across all our businesses, deriving insights and value from them and sharing them back with the businesses. In addition, Group Data also actively participates in innovation and training in the Redbeat Academy as well as collaboration with strategic partners like Google, GE, Airbus, and academia.
What You'll Do
Design and implement automated Bayesian A/B testing to power AirAsia’s experimentation platform across various businesses in AirAsia group
Play a key role in formulating, scoping, implementing, and evaluating data science initiatives
Mentor and help data scientists across the organisation to run experiments, get trustworthy results and make good decisions
About You
At least 5 years of relevant experience as a data scientist
A strong grounding in statistical methods, controlled experiments and Bayesian A/B testing
Hands-on in data science projects, and provide guidance and coaching to the data science team
Hold yourself and others to a high bar when it comes to experimentation and data science
Programming experience in Python and Hadoop/Spark, and SQL working proficiency
Thrive in a collaborative environment involving different stakeholders and subject matter experts
We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.
Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position-specific.
We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position-specific."
